<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.20	00:00:00	1.13421	1.13456	1.13405	1.13417	308	0	8
2022.01.20	01:00:00	1.13417	1.13433	1.13401	1.13428	505	0	2
2022.01.20	02:00:00	1.13428	1.13520	1.13428	1.13509	820	0	2
2022.01.20	03:00:00	1.13509	1.13651	1.13494	1.13598	1507	0	2
2022.01.20	04:00:00	1.13598	1.13609	1.13507	1.13548	1246	0	2
2022.01.20	05:00:00	1.13548	1.13561	1.13502	1.13534	869	0	2
2022.01.20	06:00:00	1.13534	1.13534	1.13482	1.13505	540	0	2
2022.01.20	07:00:00	1.13505	1.13528	1.13453	1.13496	837	0	2
2022.01.20	08:00:00	1.13496	1.13527	1.13472	1.13499	756	0	2
2022.01.20	09:00:00	1.13497	1.13665	1.13483	1.13596	1661	0	0
2022.01.20	10:00:00	1.13596	1.13689	1.13523	1.13546	2469	0	0
2022.01.20	11:00:00	1.13544	1.13567	1.13433	1.13473	2028	0	0
2022.01.20	12:00:00	1.13473	1.13513	1.13416	1.13456	1865	0	0
2022.01.20	13:00:00	1.13456	1.13466	1.13329	1.13399	1744	0	0
2022.01.20	14:00:00	1.13399	1.13409	1.13311	1.13388	1886	0	0
2022.01.20	15:00:00	1.13388	1.13577	1.13362	1.13516	3130	0	0
2022.01.20	16:00:00	1.13516	1.13574	1.13319	1.13449	3546	0	0
2022.01.20	17:00:00	1.13449	1.13531	1.13286	1.13480	4154	0	0
2022.01.20	18:00:00	1.13479	1.13531	1.13320	1.13353	2642	0	0
2022.01.20	19:00:00	1.13353	1.13416	1.13263	1.13270	1554	0	0
2022.01.20	20:00:00	1.13270	1.13294	1.13148	1.13178	1242	0	0
2022.01.20	21:00:00	1.13178	1.13196	1.13114	1.13122	952	0	0
2022.01.20	22:00:00	1.13122	1.13185	1.13030	1.13038	1421	0	2
2022.01.20	23:00:00	1.13039	1.13111	1.13038	1.13098	738	0	2
2022.01.21	00:00:00	1.13116	1.13124	1.13100	1.13121	323	0	2
2022.01.21	01:00:00	1.13121	1.13137	1.13074	1.13129	821	0	2
2022.01.21	02:00:00	1.13132	1.13169	1.13021	1.13036	1225	0	2
2022.01.21	03:00:00	1.13036	1.13176	1.13008	1.13173	1368	0	2
2022.01.21	04:00:00	1.13173	1.13350	1.13155	1.13345	1252	0	2
2022.01.21	05:00:00	1.13345	1.13345	1.13248	1.13258	1043	0	2
2022.01.21	06:00:00	1.13258	1.13269	1.13235	1.13243	544	0	2
2022.01.21	07:00:00	1.13244	1.13259	1.13224	1.13252	562	0	2
2022.01.21	08:00:00	1.13252	1.13306	1.13246	1.13289	1093	0	2
2022.01.21	09:00:00	1.13289	1.13365	1.13225	1.13285	1910	0	0
2022.01.21	10:00:00	1.13284	1.13400	1.13279	1.13356	2800	0	0
2022.01.21	11:00:00	1.13356	1.13451	1.13310	1.13391	1937	0	0
2022.01.21	12:00:00	1.13391	1.13413	1.13320	1.13388	1461	0	0
2022.01.21	13:00:00	1.13388	1.13391	1.13255	1.13297	1605	0	0
2022.01.21	14:00:00	1.13297	1.13446	1.13260	1.13380	2125	0	0
2022.01.21	15:00:00	1.13379	1.13516	1.13373	1.13501	2363	0	0
2022.01.21	16:00:00	1.13501	1.13598	1.13406	1.13500	3414	0	0
2022.01.21	17:00:00	1.13500	1.13534	1.13369	1.13458	4234	0	0
2022.01.21	18:00:00	1.13461	1.13532	1.13403	1.13454	2466	0	0
2022.01.21	19:00:00	1.13454	1.13499	1.13396	1.13453	1253	0	0
2022.01.21	20:00:00	1.13453	1.13489	1.13417	1.13441	868	0	0
2022.01.21	21:00:00	1.13441	1.13464	1.13407	1.13413	755	0	0
2022.01.21	22:00:00	1.13413	1.13449	1.13382	1.13409	1186	0	2
2022.01.21	23:00:00	1.13412	1.13451	1.13389	1.13421	633	0	2
2022.01.24	00:00:00	1.13425	1.13439	1.13412	1.13418	170	0	20
2022.01.24	01:00:00	1.13419	1.13449	1.13366	1.13410	859	0	2
2022.01.24	02:00:00	1.13410	1.13410	1.13325	1.13385	960	0	2
2022.01.24	03:00:00	1.13385	1.13394	1.13333	1.13368	908	0	2
2022.01.24	04:00:00	1.13369	1.13378	1.13319	1.13323	812	0	2
2022.01.24	05:00:00	1.13323	1.13339	1.13274	1.13287	649	0	2
2022.01.24	06:00:00	1.13287	1.13311	1.13280	1.13296	341	0	2
2022.01.24	07:00:00	1.13296	1.13299	1.13167	1.13179	763	0	2
2022.01.24	08:00:00	1.13179	1.13231	1.13146	1.13231	1162	0	2
2022.01.24	09:00:00	1.13233	1.13292	1.13198	1.13237	1574	0	0
2022.01.24	10:00:00	1.13237	1.13321	1.13094	1.13213	2847	0	0
